sample,H ,density ,porosity,mineral,om %,c (g/kg),site
S1R1,"16,98","0,730","0,7245283019","97,297","2,703","15,71511628",1
S1R2,"13,012","0,706","0,7335849057","97,284","2,716","15,79069767",1
S1R3,"13,188","0,577","0,7822641509","97,443","2,557","14,86627907",1
S2R1,"12,93","0,601","0,7732075472","96,201","3,799","22,0872093",2
S2R2,"34,42","0,522","0,8030188679","96,781","3,218","18,70930233",2
S2R3,"13,17","0,598","0,7743396226","96,548","3,451","20,06395349",2
S3R1,"11,87","0,555","0,7905660377","96,352","3,648","21,20930233",3
S3R2,"10,83","0,565","0,7867924528","96,853","3,146","18,29069767",3
S3R3,"12,99","0,555","0,7905660377","96,133","3,866","22,47674419",3
S4R1,"14,39","0,640","0,758490566","96,585","3,414","19,84883721",4
S4R2,"13,96","0,554","0,7909433962","96,407","3,592","20,88372093",4
S4R3,"14,94","0,639","0,7588679245","96,336","3,664","21,30232558",4